objectid,accident,agency,inv_date,complaint,injured,killed,min_inj,dis_inj,severity,county,city,troop,no_vehicle,motor_veh,left_scene,dist_feet,dist_mile,inter_loc,direction,on_street,at_street,light_cond,acc_type,on_off_rd,two_veh,day_week,dr_drink,dr_drug,ped_drink,ped_drug,speed,dr_under21,dr_under25,dr_over55,dr_over64,electrical,emer_veh,stop_sign,yield_sign,czone,hazmat,aggressive,cell_phone,texting,veh_defect,school_bus,truck,motorcycle,atv,pickup,cmv,gps_lat,gps_long,severity_fatal,acc_date,acc_time,narrative
1504574,3190010852,Missouri State Highway Patrol-Troop H,1556496000000,190233322,1,0,0,1,Personal Injury,DAVIESS,NON-CITY OR UNINCORPORATED,H,1,1,0,212,0.04,B ,N,IS 35,ERM NORTH IS 35 MILE 628,Dark-Unlighted,Fixed Object,2,,Mon     ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.87081,-94.16881,0,04/29/2019,00:27:00,"CRASH OCCURRED AS VEH 1 WAS NORTHBOUND ON I-35. VEH 1 TRAVELED OFF THE EAST SIDE OF THE ROADWAY, STRUCK AN EMBANKMENT, AND OVERTURNED. VEH 1 CAME TO REST IN THE PASSING LANE OF I-35 ON ITS TOP FACING WEST. ASSISTED BY DAVIESS COUNTY SHERIFF'S OFFICE, AND DAVIESS COUNTY EMS."
1291659,3190011401,Missouri State Highway Patrol-Troop C,1556496000000,190233608,1,0,1,0,Personal Injury,ST. CHARLES,NON-CITY OR UNINCORPORATED,C,1,1,0,5280,1,A ,E ,RT D,PVT WILDLIFE LN,Daylight,Overturn,2,,Mon     ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,38.70491,-90.78735,0,04/29/2019,08:40:00,"VEHICLE 1 WAS WESTBOUND ON HIGHWAY D, TRAVELING TOO FAST FOR CONDITIONS.  DRIVER 1 FAILED TO NEGOTIATE A CURVE TO THE LEFT.  VEHICLE 1 BEGAN TO SLIDE AND TRAVELED OFF THE LEFT SIDE OF THE ROADWAY, THEN OVERTURNED."
1144932,3190010659,Missouri State Highway Patrol-Troop E,1556496000000,190233666,1,0,0,1,Personal Injury,NEW MADRID,NON-CITY OR UNINCORPORATED,E,1,1,0,396,0.07,B ,W ,RT HH,CRD 610,Daylight,Overturn,2,,Mon     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.71523,-89.6275,0,04/29/2019,09:17:00,CRASH OCCURRED AS VEH 1 TRAVELED OFF THE RIGHT SIDE OF THE ROADWAY AND OVERTURNED.
1030500,3190010879,Missouri State Highway Patrol-Troop I,1556496000000,190233699,1,0,1,0,Personal Injury,PULASKI,NON-CITY OR UNINCORPORATED,I,1,1,0,258,0.05,A ,N,MO 17,PVT RELAXING,Daylight,Overturn,2,,Mon     ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.87713,-92.24839,0,04/29/2019,09:00:00,VEHICLE 1 TRAVELED OFF LEFT SIDE OF THE ROADWAY. DRIVER 1 OVERCORRECTED CAUSING VEHICLE 1 TO RETURN TO THE ROADWAY AND OVERTURN.
1120757,3190010729,Missouri State Highway Patrol-Troop E,1556496000000,190233899,1,0,1,0,Personal Injury,IRON,NON-CITY OR UNINCORPORATED,E,1,1,0,723,0.14,A ,S ,MO 21,BRIDGE A4379,Daylight,Fixed Object,2,,Mon     ,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,37.54225,-90.6831,0,04/29/2019,10:55:00,"CRASH OCCURRED AS VEHICLE ONE BEGAN SLIDING, TRAVELED OFF THE LEFT SIDE OF THE ROADWAY, STRIKING A ROCK BLUFF AND A TREE."
1030473,3190010867,Missouri State Highway Patrol-Troop I,1556496000000,190234027,1,0,1,0,Personal Injury,PULASKI,NON-CITY OR UNINCORPORATED,I,2,2,0,818,0.15,B ,S ,MO 17,CRD RAMBO DR,Daylight,Motor Vehicle in Transport,1,61,Mon     ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.91033,-92.25377,0,04/29/2019,11:45:00,VEHICLE 2 WAS STOPPING FOR A TRASH TRUCK. VEHICLE 1 STRUCK THE BACK OF VEHICLE 2.
1212731,3190013129,Missouri State Highway Patrol-Troop C,1556496000000,190234032,1,0,1,0,Personal Injury,WASHINGTON,NON-CITY OR UNINCORPORATED,C,1,1,0,528,0.1,A ,W ,RT C,MO 21,Daylight,Overturn,2,,Mon     ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,37.77815,-90.77747,0,04/29/2019,11:30:00,"THE RIGHT REAR TIRE OF VEHICLE 1 TRAVELED OFF THE RIGHT SIDE OF THE ROADWAY CAUSING VEHICLE 1 TO EXIT THE ROADWAY AND OVERTURN.  ASSISTED BY CONSERVATION AGENT J.K. HALL (CC563), TPR D.R. THOMPSON (666), AND THE WASHINGTON COUNTY SHERIFFS OFFICE"
866210,3190013282,Missouri State Highway Patrol-Troop A,1556496000000,190234310,0,1,0,0,Fatal,PETTIS,NON-CITY OR UNINCORPORATED,A,1,1,0,1182,0.22,A ,E ,US 50,CO US50 W TO US50 E,Daylight,Overturn,2,,Mon     ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,38.72196,-93.30025,1,04/29/2019,13:46:00,"***FATAL CRASH*** NEXT OF KIN NOTIFIED *** TROOP A FATAL CRASH #24 AND FATALITY #27 FOR 2019. CRASH OCCURRED AS DRIVER 1 FAILED TO NEGOTIATE A CURVE; VEHICLE 1 TRAVELED OFF THE ROADWAY AND OVERTURNED. DRIVER 1 WAS EJECTED AND STRUCK A TREE. VEHICLE 1 AND DRIVER 1 CAME TO REST IN A DITCH OFF THE SOUTH SIDE OF US-50. DRIVER 1 PRONOUNCED ON SCENE AT 1346 BY DEPUTY CORONER TODD ASBURY. ASSISTED BY CPL R. W. SHAUL /528/, AND PETTIS COUNTY SHERIFF'S DEPARTMENT."
915481,3190011280,Missouri State Highway Patrol-Troop D,1556496000000,190234339,15,0,15,0,Personal Injury,JASPER,NON-CITY OR UNINCORPORATED,D,2,2,0,42,0.01,B ,W ,MO 96,CST ESTERLY DRIVE,Daylight,Motor Vehicle in Transport,1,61,Mon     ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,37.18668,-94.29772,0,04/29/2019,13:55:00,VEHICLE #1 STRUCK VEHICLE #2 IN THE REAR.  VEHICLE #2 WAS FORCED OFF THE SOUTH SIDE OF THE ROADWAY AND OVER A STEEP EMBANKMENT.
820840,3190011792,Missouri State Highway Patrol-Troop A,1556496000000,190234567,1,0,1,0,Personal Injury,PLATTE,PLATTE CITY,A,1,1,0,345,0.07,A ,N,RP 5940,IS 29,Daylight,Fixed Object,2,,Mon     ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.35173,-94.75921,0,04/29/2019,15:38:00,"CRASH OCCURRED AS VEH1 LOST CONTROL, RAN OFF RIGHT SIDE OF ROADWAY, AND STUCK THE GUARDRAIL."
